month,day,doy,lunarIndex
January,1,1,14
January,2,2,15
January,3,3,15
January,4,4,16
January,5,5,17
January,6,6,18
January,7,7,19
January,8,8,20
January,9,9,21
January,10,10,22
January,11,11,23
January,12,12,24
January,13,13,25
January,14,14,26
January,15,15,27
January,16,16,28
January,17,17,29
January,18,18,30
January,19,19,1
January,20,20,2
January,21,21,3
January,22,22,4
January,23,23,5
January,24,24,6
January,25,25,7
January,26,26,8
January,27,27,9
January,28,28,10
January,29,29,11
January,30,30,12
January,31,31,13
February,1,32,14
February,2,33,15
February,3,34,16
February,4,35,17
February,5,36,18
February,6,37,19
February,7,38,20
February,8,39,21
February,9,40,22
February,10,41,23
February,11,42,24
February,12,43,25
February,13,44,26
February,14,45,27
February,15,46,28
February,16,47,29
February,17,48,1
February,18,49,2
February,19,50,3
February,20,51,4
February,21,52,5
February,22,53,6
February,23,54,7
February,24,55,8
February,25,56,9
February,26,57,10
February,27,58,11
February,28,59,12
March,1,60,13
March,2,61,14
March,3,62,15
March,4,63,16
March,5,64,17
March,6,65,18
March,7,66,19
March,8,67,20
March,9,68,21
March,10,69,22
March,11,70,23
March,12,71,24
March,13,72,25
March,14,73,26
March,15,74,27
March,16,75,28
March,17,76,29
March,18,77,30
March,19,78,1
March,20,79,2
March,21,80,3
March,22,81,4
March,23,82,5
March,24,83,6
March,25,84,7
March,26,85,8
March,27,86,9
March,28,87,10
March,29,88,11
March,30,89,12
March,31,90,13
April,1,91,14
April,2,92,15
April,3,93,16
April,4,94,17
April,5,95,18
April,6,96,19
April,7,97,20
April,8,98,21
April,9,99,22
April,10,100,23
April,11,101,24
April,12,102,25
April,13,103,26
April,14,104,27
April,15,105,28
April,16,106,29
April,17,107,1
April,18,108,2
April,19,109,3
April,20,110,4
April,21,111,5
April,22,112,6
April,23,113,7
April,24,114,8
April,25,115,9
April,26,116,10
April,27,117,11
April,28,118,12
April,29,119,13
April,30,120,14
May,1,121,15
May,2,122,16
May,3,123,17
May,4,124,18
May,5,125,19
May,6,126,20
May,7,127,21
May,8,128,22
May,9,129,23
May,10,130,24
May,11,131,25
May,12,132,26
May,13,133,27
May,14,134,28
May,15,135,29
May,16,136,1
May,17,137,2
May,18,138,3
May,19,139,4
May,20,140,5
May,21,141,6
May,22,142,7
May,23,143,8
May,24,144,9
May,25,145,10
May,26,146,11
May,27,147,12
May,28,148,13
May,29,149,14
May,30,150,15
May,31,151,16
June,1,152,17
June,2,153,18
June,3,154,19
June,4,155,20
June,5,156,21
June,6,157,22
June,7,158,23
June,8,159,24
June,9,160,25
June,10,161,26
June,11,162,27
June,12,163,28
June,13,164,29
June,14,165,30
June,15,166,1
June,16,167,2
June,17,168,3
June,18,169,4
June,19,170,5
June,20,171,6
June,21,172,7
June,22,173,8
June,23,174,9
June,24,175,10
June,25,176,11
June,26,177,12
June,27,178,13
June,28,179,14
June,29,180,15
June,30,181,16
July,1,182,17
July,2,183,18
July,3,184,19
July,4,185,20
July,5,186,21
July,6,187,22
July,7,188,23
July,8,189,24
July,9,190,25
July,10,191,26
July,11,192,27
July,12,193,28
July,13,194,29
July,14,195,1
July,15,196,2
July,16,197,3
July,17,198,4
July,18,199,5
July,19,200,6
July,20,201,7
July,21,202,8
July,22,203,9
July,23,204,10
July,24,205,11
July,25,206,12
July,26,207,13
July,27,208,14
July,28,209,15
July,29,210,16
July,30,211,17
July,31,212,18
August,1,213,19
August,2,214,20
August,3,215,21
August,4,216,22
August,5,217,23
August,6,218,24
August,7,219,25
August,8,220,26
August,9,221,27
August,10,222,28
August,11,223,29
August,12,224,1
August,13,225,2
August,14,226,3
August,15,227,4
August,16,228,5
August,17,229,6
August,18,230,7
August,19,231,8
August,20,232,9
August,21,233,10
August,22,234,11
August,23,235,12
August,24,236,13
August,25,237,14
August,26,238,15
August,27,239,16
August,28,240,17
August,29,241,18
August,30,242,19
August,31,243,20
September,1,244,21
September,2,245,22
September,3,246,23
September,4,247,24
September,5,248,25
September,6,249,26
September,7,250,27
September,8,251,28
September,9,252,29
September,10,253,30
September,11,254,1
September,12,255,2
September,13,256,3
September,14,257,4
September,15,258,5
September,16,259,6
September,17,260,7
September,18,261,8
September,19,262,9
September,20,263,10
September,21,264,11
September,22,265,12
September,23,266,13
September,24,267,14
September,25,268,15
September,26,269,16
September,27,270,17
September,28,271,18
September,29,272,19
September,30,273,20
October,1,274,21
October,2,275,22
October,3,276,23
October,4,277,24
October,5,278,25
October,6,279,26
October,7,280,27
October,8,281,28
October,9,282,29
October,10,283,30
October,11,284,1
October,12,285,2
October,13,286,3
October,14,287,4
October,15,288,5
October,16,289,6
October,17,290,7
October,18,291,8
October,19,292,9
October,20,293,10
October,21,294,11
October,22,295,12
October,23,296,13
October,24,297,14
October,25,298,15
October,26,299,16
October,27,300,17
October,28,301,18
October,29,302,19
October,30,303,20
October,31,304,21
November,1,305,22
November,2,306,23
November,3,307,24
November,4,308,25
November,5,309,26
November,6,310,27
November,7,311,28
November,8,312,29
November,9,313,1
November,10,314,2
November,11,315,3
November,12,316,4
November,13,317,5
November,14,318,6
November,15,319,7
November,16,320,8
November,17,321,9
November,18,322,10
November,19,323,11
November,20,324,12
November,21,325,13
November,22,326,14
November,23,327,15
November,24,328,16
November,25,329,17
November,26,330,18
November,27,331,19
November,28,332,20
November,29,333,21
November,30,334,22
December,1,335,23
December,2,336,24
December,3,337,25
December,4,338,26
December,5,339,27
December,6,340,28
December,7,341,29
December,8,342,30
December,9,343,1
December,10,344,2
December,11,345,3
December,12,346,4
December,13,347,5
December,14,348,6
December,15,349,7
December,16,350,8
December,17,351,9
December,18,352,10
December,19,353,11
December,20,354,12
December,21,355,13
December,22,356,14
December,23,357,15
December,24,358,16
December,25,359,17
December,26,360,18
December,27,361,19
December,28,362,20
December,29,363,21
December,30,364,22
December,31,365,23
