month,day,doy,lunarIndex
October,14,288,16
October,15,289,17
October,16,290,18
October,17,291,19
October,18,292,20
October,19,293,21
October,20,294,22
October,21,295,23
October,22,296,24
October,23,297,25
October,24,298,26
October,25,299,27
October,26,300,28
October,27,301,29
October,28,302,1
October,29,303,2
October,30,304,3
October,31,305,4
November,1,306,5
November,2,307,6
November,3,308,7
November,4,309,8
November,5,310,9
November,6,311,10
November,7,312,11
November,8,313,12
November,9,314,13
November,10,315,14
November,11,316,15
November,12,317,16
November,13,318,17
November,14,319,18
November,15,320,19
November,16,321,20
November,17,322,21
November,18,323,22
November,19,324,23
November,20,325,24
November,21,326,25
November,22,327,26
November,23,328,27
November,24,329,28
November,25,330,29
November,26,331,30
November,27,332,1
November,28,333,2
November,29,334,3
November,30,335,4
December,1,336,5
December,2,337,6
December,3,338,7
December,4,339,8
December,5,340,9
December,6,341,10
December,7,342,11
December,8,343,12
December,9,344,13
December,10,345,14
December,11,346,15
December,12,347,16
December,13,348,17
December,14,349,18
December,15,350,19
December,16,351,20
December,17,352,21
December,18,353,22
December,19,354,23
December,20,355,24
December,21,356,25
December,22,357,26
December,23,358,27
December,24,359,28
December,25,360,29
December,26,361,30
December,27,362,1
December,28,363,2
December,29,364,3
December,30,365,4
December,31,366,5
