month,day,doy,lunarIndex
January,1,1,24
January,2,2,25
January,3,3,26
January,4,4,27
January,5,5,28
January,6,6,29
January,7,7,30
January,8,8,1
January,9,9,2
January,10,10,3
January,11,11,4
January,12,12,5
January,13,13,6
January,14,14,7
January,15,15,8
January,16,16,9
January,17,17,10
January,18,18,11
January,19,19,12
January,20,20,13
January,21,21,14
January,22,22,15
January,23,23,16
January,24,24,17
January,25,25,18
January,26,26,19
January,27,27,20
January,28,28,21
January,29,29,22
January,30,30,23
January,31,31,24
February,1,32,25
February,2,33,26
February,3,34,27
February,4,35,28
February,5,36,29
February,6,37,30
February,7,38,1
February,8,39,2
February,9,40,3
February,10,41,4
February,11,42,5
February,12,43,6
February,13,44,7
February,14,45,8
February,15,46,9
February,16,47,10
February,17,48,11
February,18,49,12
February,19,50,13
February,20,51,14
February,21,52,15
February,22,53,16
February,23,54,17
February,24,55,18
February,25,56,19
February,26,57,20
February,27,58,21
February,28,59,22
February,29,60,23
March,1,61,24
March,2,62,25
March,3,63,26
March,4,64,27
March,5,65,28
March,6,66,29
March,7,67,1
March,8,68,2
March,9,69,3
March,10,70,4
March,11,71,5
March,12,72,6
March,13,73,7
March,14,74,8
March,15,75,9
March,16,76,10
March,17,77,11
March,18,78,12
March,19,79,13
March,20,80,14
March,21,81,15
March,22,82,16
March,23,83,17
March,24,84,18
March,25,85,19
March,26,86,20
March,27,87,21
March,28,88,22
March,29,89,23
March,30,90,24
March,31,91,25
April,1,92,26
April,2,93,27
April,3,94,28
April,4,95,29
April,5,96,30
April,6,97,1
April,7,98,2
April,8,99,3
April,9,100,4
April,10,101,5
April,11,102,6
April,12,103,7
April,13,104,8
April,14,105,9
April,15,106,10
April,16,107,11
April,17,108,12
April,18,109,13
April,19,110,14
April,20,111,15
April,21,112,16
April,22,113,17
April,23,114,18
April,24,115,19
April,25,116,20
April,26,117,21
April,27,118,22
April,28,119,23
April,29,120,24
April,30,121,25
May,1,122,26
May,2,123,27
May,3,124,28
May,4,125,29
May,5,126,1
May,6,127,2
May,7,128,3
May,8,129,4
May,9,130,5
May,10,131,6
May,11,132,7
May,12,133,8
May,13,134,9
May,14,135,10
May,15,136,11
May,16,137,12
May,17,138,13
May,18,139,14
May,19,140,15
May,20,141,16
May,21,142,17
May,22,143,18
May,23,144,19
May,24,145,20
May,25,146,21
May,26,147,22
May,27,148,23
May,28,149,24
May,29,150,25
May,30,151,26
May,31,152,27
June,1,153,28
June,2,154,29
June,3,155,1
June,4,156,2
June,5,157,3
June,6,158,4
June,7,159,5
June,8,160,6
June,9,161,7
June,10,162,8
June,11,163,9
June,12,164,10
June,13,165,11
June,14,166,12
June,15,167,13
June,16,168,14
June,17,169,15
June,18,170,16
June,19,171,17
June,20,172,18
June,21,173,19
June,22,174,20
June,23,175,21
June,24,176,22
June,25,177,23
June,26,178,24
June,27,179,25
June,28,180,26
June,29,181,27
June,30,182,28
July,1,183,29
July,2,184,30
July,3,185,1
July,4,186,2
July,5,187,3
July,6,188,4
July,7,189,5
July,8,190,6
July,9,191,7
July,10,192,8
July,11,193,9
July,12,194,10
July,13,195,11
July,14,196,12
July,15,197,13
July,16,198,14
July,17,199,15
July,18,200,16
July,19,201,17
July,20,202,18
July,21,203,19
July,22,204,20
July,23,205,21
July,24,206,22
July,25,207,23
July,26,208,24
July,27,209,25
July,28,210,26
July,29,211,27
July,30,212,28
July,31,213,29
August,1,214,1
August,2,215,2
August,3,216,3
August,4,217,4
August,5,218,5
August,6,219,6
August,7,220,7
August,8,221,8
August,9,222,9
August,10,223,10
August,11,224,11
August,12,225,12
August,13,226,13
August,14,227,14
August,15,228,15
August,16,229,16
August,17,230,17
August,18,231,18
August,19,232,19
August,20,233,20
August,21,234,21
August,22,235,22
August,23,236,23
August,24,237,24
August,25,238,25
August,26,239,26
August,27,240,27
August,28,241,28
August,29,242,29
August,30,243,1
August,31,244,2
September,1,245,3
September,2,246,4
September,3,247,5
September,4,248,6
September,5,249,7
September,6,250,8
September,7,251,9
September,8,252,10
September,9,253,11
September,10,254,12
September,11,255,13
September,12,256,14
September,13,257,15
September,14,258,16
September,15,259,17
September,16,260,18
September,17,261,19
September,18,262,20
September,19,263,21
September,20,264,22
September,21,265,23
September,22,266,24
September,23,267,25
September,24,268,26
September,25,269,27
September,26,270,28
September,27,271,29
September,28,272,30
September,29,273,1
September,30,274,2
October,1,275,3
October,2,276,4
October,3,277,5
October,4,278,6
October,5,279,7
October,6,280,8
October,7,281,9
October,8,282,10
October,9,283,11
October,10,284,12
October,11,285,13
October,12,286,14
October,13,287,15
